Compound,Space_Group,Crystal_System,cluster_id,Representative_Compound
NaLaZrTiO6_216,216,cubic,89,KLaHfFeO6_216
NaLaZrVO6_216,216,cubic,89,KLaHfFeO6_216
NaLiLa2Ti4O12_1,1,triclinic,124,Na3TbTi2Nb2O12_1
NaLiV(OF)2_4,4,monoclinic,152,RbTlI3_225
NaLiZrWO6_216,216,cubic,82,K5Na3Ta5Nb3O24_1
NaMgF3_221,221,cubic,92,KNa3Mg4F12_6
NaMgF3_62,62,orthorhombic,129,NaMgF3_62
NaMgF3_63,63,orthorhombic,129,NaMgF3_62
NaMnF3_62,62,orthorhombic,136,NaVF3_62
NaNbInWO6_216,216,cubic,89,KLaHfFeO6_216
NaNbO3_221,221,cubic,82,K5Na3Ta5Nb3O24_1
NaNbO3_59,59,orthorhombic,123,Na3SrTa4O12_6
NaNbO3_62,62,orthorhombic,123,Na3SrTa4O12_6
NaNbO3_74,74,orthorhombic,123,Na3SrTa4O12_6
NaNd3Ti3MnO12_4,4,monoclinic,97,La3Mn3O10_1
NaNdCoWO6_4,4,monoclinic,124,Na3TbTi2Nb2O12_1
NaNdFeWO6_4,4,monoclinic,124,Na3TbTi2Nb2O12_1
NaNdHf2O6_225,225,cubic,133,NaSrEuSeO6_216
NaNdHfNbO6_216,216,cubic,133,NaSrEuSeO6_216
NaNdHfTiO6_216,216,cubic,89,KLaHfFeO6_216
NaNdMgWO6_4,4,monoclinic,124,Na3TbTi2Nb2O12_1
NaNiF3_62,62,orthorhombic,111,MgFeO3_221
NaNiO3_221,221,cubic,111,MgFeO3_221
NaOsO3_221,221,cubic,123,Na3SrTa4O12_6
NaPb2IO6_14,14,monoclinic,170,TlCuF3_123
NaPb2IO6_225,225,cubic,170,TlCuF3_123
NaPr2Ti2MnO9_1,1,triclinic,97,La3Mn3O10_1
NaPrDyFeO6_216,216,cubic,89,KLaHfFeO6_216
NaPrEuWO6_216,216,cubic,11,BaCaDyNbO6_216
NaPrHf2O6_225,225,cubic,133,NaSrEuSeO6_216
NaPrHfNbO6_216,216,cubic,133,NaSrEuSeO6_216
NaPrNb2O6_225,225,cubic,89,KLaHfFeO6_216
NaPrTi2O6_31,31,orthorhombic,19,CaHo(FeO3)2_31
NaPrYFeO6_216,216,cubic,89,KLaHfFeO6_216
NaPrYSbO6_216,216,cubic,130,NaPrYSbO6_216
NaPrZrFeO6_216,216,cubic,89,KLaHfFeO6_216
NaPrZrTiO6_216,216,cubic,89,KLaHfFeO6_216
NaPuO3_221,221,cubic,128,NaCaDyWO6_216
NaRuO3_221,221,cubic,123,Na3SrTa4O12_6
NaSc(NF3)2_225,225,cubic,131,NaSc(NF3)2_225
NaScTl2F6_225,225,cubic,66,K2CrAgF6_225
NaSmMnWO6_216,216,cubic,89,KLaHfFeO6_216
NaSr2IO6_225,225,cubic,130,NaPrYSbO6_216
NaSr2OsO6_225,225,cubic,132,NaSr2OsO6_225
NaSr2ReO6_225,225,cubic,132,NaSr2OsO6_225
NaSr4(SbO4)3_14,14,monoclinic,166,SrPrZnBiO6_216
NaSrCaMnO6_216,216,cubic,130,NaPrYSbO6_216
NaSrCeBiO6_216,216,cubic,134,NaSrNdWO6_216
NaSrCeBiO6_48,48,orthorhombic,134,NaSrNdWO6_216
NaSrCeSbO6_216,216,cubic,11,BaCaDyNbO6_216
NaSrDyFeO6_216,216,cubic,133,NaSrEuSeO6_216
NaSrDyMnO6_216,216,cubic,133,NaSrEuSeO6_216
NaSrEuMnO6_216,216,cubic,159,Sr2HfCrO6_12
NaSrEuSeO6_216,216,cubic,133,NaSrEuSeO6_216
NaSrEuWO6_216,216,cubic,132,NaSr2OsO6_225
NaSrHfBiO6_216,216,cubic,128,NaCaDyWO6_216
NaSrHfSbO6_216,216,cubic,133,NaSrEuSeO6_216
NaSrHfWO6_216,216,cubic,133,NaSrEuSeO6_216
NaSrInWO6_216,216,cubic,133,NaSrEuSeO6_216
NaSrLaMnO6_216,216,cubic,130,NaPrYSbO6_216
NaSrLaSeO6_216,216,cubic,130,NaPrYSbO6_216
NaSrLaWO6_216,216,cubic,134,NaSrNdWO6_216
NaSrNbBiO6_216,216,cubic,134,NaSrNdWO6_216
NaSrNdWO6_216,216,cubic,134,NaSrNdWO6_216
NaSrNdWO6_48,48,orthorhombic,134,NaSrNdWO6_216
NaSrPrBiO6_216,216,cubic,63,K2AgAuF6_225
NaSrPrFeO6_216,216,cubic,130,NaPrYSbO6_216
NaSrPrMnO6_216,216,cubic,130,NaPrYSbO6_216
NaSrPrSbO6_216,216,cubic,134,NaSrNdWO6_216
NaSrPrWO6_216,216,cubic,134,NaSrNdWO6_216
NaSrSbWO6_216,216,cubic,134,NaSrNdWO6_216
NaSrSmMnO6_216,216,cubic,130,NaPrYSbO6_216
NaSrSnWO6_216,216,cubic,133,NaSrEuSeO6_216
NaSrTiBiO6_216,216,cubic,82,K5Na3Ta5Nb3O24_1
NaSrYSeO6_216,216,cubic,159,Sr2HfCrO6_12
NaSrYWO6_216,216,cubic,134,NaSrNdWO6_216
NaSrZrNbO6_216,216,cubic,166,SrPrZnBiO6_216
NaTaO3_62,62,orthorhombic,123,Na3SrTa4O12_6
NaTaO3_63,63,orthorhombic,123,Na3SrTa4O12_6
NaTbEuSbO6_216,216,cubic,130,NaPrYSbO6_216
NaTbEuWO6_216,216,cubic,130,NaPrYSbO6_216
NaTbMnWO6_216,216,cubic,89,KLaHfFeO6_216
NaTeO3_221,221,cubic,82,K5Na3Ta5Nb3O24_1
NaTi4(CuO4)3_204,204,cubic,54,EuNiO3_62
NaTi5Se8_12,12,monoclinic,169,TlCr5Se8_12
NaTl(NF3)2_225,225,cubic,81,K3YbF6_225
NaTl2GaF6_225,225,cubic,144,Rb2LiRhF6_225
